x,y,z,convected,diffused
2.0066,-0.68886,-1.4125,0.65039,1.6401
2.1281,-0.73057,-1.4125,0.65033,1.6401
1.9727,-0.32919,-1.4125,0.65031,1.6401
2.0924,-0.34916,-1.4125,0.65039,1.6401
2.2193,-0.37034,-1.4125,0.65034,1.6401
2,0,-1.175,0.57613,1.5437
1.9727,0.32919,-1.175,0.57614,1.5437
2.0928,0.34922,-1.175,0.57612,1.5436
2.1215,-4.18E-07,-1.175,0.57612,1.5436
2.2193,0.37034,-1.175,0.57613,1.5437
2.25,0,-1.175,0.57613,1.5437
1.8916,0.6494,-1.175,0.57614,1.5437
2.0066,0.68886,-1.175,0.57612,1.5436
2.1281,0.73057,-1.175,0.57614,1.5437
1.7589,0.95189,-1.175,0.57614,1.5437
1.8658,1.0097,-1.175,0.57612,1.5436
1.9788,1.0709,-1.175,0.57614,1.5437
1.5783,1.2284,-1.175,0.57614,1.5437
1.6742,1.3031,-1.175,0.57612,1.5436
1.7756,1.382,-1.175,0.57614,1.5437
1.3546,1.4714,-1.175,0.57614,1.5437
1.4369,1.5609,-1.175,0.57612,1.5436
1.5239,1.6554,-1.175,0.57613,1.5437
1.0939,1.6743,-1.175,0.57614,1.5437
1.1604,1.7761,-1.175,0.57612,1.5436
1.2306,1.8836,-1.175,0.57613,1.5437
0.80339,1.8315,-1.175,0.57613,1.5437
0.8522,1.9428,-1.175,0.57612,1.5436
0.90381,2.0605,-1.175,0.57613,1.5437
0.49097,1.9388,-1.175,0.57613,1.5437
0.5208,2.0566,-1.175,0.57612,1.5436
0.55234,2.1812,-1.175,0.57613,1.5437
0.16516,1.9932,-1.175,0.57613,1.5437
0.17519,2.1143,-1.175,0.57612,1.5436
0.1858,2.2423,-1.175,0.57613,1.5437
-0.16516,1.9932,-1.175,0.57613,1.5437
-0.17519,2.1143,-1.175,0.57612,1.5436
-0.1858,2.2423,-1.175,0.57613,1.5437
-0.49097,1.9388,-1.175,0.57613,1.5437
-0.5208,2.0566,-1.175,0.57612,1.5436
-0.55234,2.1812,-1.175,0.57613,1.5437
-0.80339,1.8315,-1.175,0.57613,1.5437
-0.8522,1.9428,-1.175,0.57612,1.5436
-0.90381,2.0605,-1.175,0.57613,1.5437
-1.0939,1.6743,-1.175,0.57613,1.5437
-1.1604,1.7761,-1.175,0.57612,1.5436
-1.2306,1.8836,-1.175,0.57613,1.5437
-1.3546,1.4714,-1.175,0.57613,1.5437
-1.4369,1.5609,-1.175,0.57612,1.5436
-1.5239,1.6554,-1.175,0.57613,1.5437
-1.5783,1.2284,-1.175,0.57613,1.5437
-1.6742,1.3031,-1.175,0.57612,1.5436
-1.7756,1.382,-1.175,0.57613,1.5437
-1.7589,0.95189,-1.175,0.57613,1.5437
